Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[258, 744], [744, 258]]&0.9949481&1.89953553614e-26
[[259, 743], [743, 259]]&0.9947374&1.92322658879e-26
[[260, 742], [742, 260]]&0.994519&1.94808214833e-26
[[261, 741], [741, 261]]&0.9942928&1.97416540705e-26
[[262, 740], [740, 262]]&0.9940586&2.00154363948e-26
[[263, 739], [739, 263]]&0.9938162&2.03028851711e-26
[[264, 738], [738, 264]]&0.9935652&2.06047645096e-26
[[265, 737], [737, 265]]&0.9933055&2.09218896452e-26
[[266, 736], [736, 266]]&0.9930368&2.12551310024e-26
[[267, 735], [735, 267]]&0.9927588&2.16054186282e-26
[[268, 734], [734, 268]]&0.9924714&2.19737470301e-26
[[269, 733], [733, 269]]&0.9921742&2.23611804614e-26
[[270, 732], [732, 270]]&0.991867&2.27688586976e-26
[[271, 731], [731, 271]]&0.9915495&2.31980033573e-26
[[272, 730], [730, 272]]&0.9912214&2.36499248214e-26
[[273, 729], [729, 273]]&0.9908825&2.41260298168e-26
[[274, 728], [728, 274]]&0.9905324&2.4627829733e-26
[[275, 727], [727, 275]]&0.9901709&2.51569497505e-26
[[726, 276], [276, 726]]&0.9897978&2.57151388703e-26
[[277, 725], [725, 277]]&0.9894126&2.63042809417e-26
[[278, 724], [724, 278]]&0.9890151&2.69264067991e-26
[[279, 723], [723, 279]]&0.988605&2.75837076307e-26
[[280, 722], [722, 280]]&0.988182&2.82785497196e-26
[[281, 721], [721, 281]]&0.9877457&2.90134907102e-26
[[282, 720], [720, 282]]&0.9872958&2.97912975778e-26
[[283, 719], [719, 283]]&0.9868321&3.06149664963e-26
[[718, 284], [284, 718]]&0.9863541&3.14877448272e-26
[[285, 717], [717, 285]]&0.9858615&3.241315548e-26
[[286, 716], [716, 286]]&0.9853541&3.33950239256e-26
[[715, 287], [287, 715]]&0.9848314&3.4437508184e-26
[[288, 714], [714, 288]]&0.9842931&3.55451321461e-26
[[289, 713], [713, 289]]&0.9837388&3.67228226393e-26
[[712, 290], [290, 712]]&0.9831683&3.79759507015e-26
[[711, 291], [291, 711]]&0.982581&3.93103775891e-26
[[710, 292], [292, 710]]&0.9819767&4.07325061198e-26
[[709, 293], [293, 709]]&0.981355&4.22493380281e-26
[[708, 294], [294, 708]]&0.9807155&4.38685381134e-26
[[707, 295], [295, 707]]&0.9800578&4.55985060612e-26
[[706, 296], [296, 706]]&0.9793815&4.74484569513e-26
[[705, 297], [297, 705]]&0.9786864&4.9428511605e-26
[[704, 298], [298, 704]]&0.9779718&5.1549798095e-26
[[703, 299], [299, 703]]&0.9772375&5.38245659305e-26
[[702, 300], [300, 702]]&0.9764831&5.62663146573e-26
[[701, 301], [301, 701]]&0.9757082&5.8889938867e-26
[[700, 302], [302, 700]]&0.9749123&6.17118919131e-26
[[699, 303], [303, 699]]&0.974095&6.47503709769e-26
[[304, 698], [698, 304]]&0.9732559&6.80255265356e-26
[[697, 305], [305, 697]]&0.9723947&7.15596997504e-26
[[696, 306], [306, 696]]&0.9715108&7.53776918518e-26
[[695, 307], [307, 695]]&0.9706039&7.95070702324e-26
[[694, 308], [308, 694]]&0.9696735&8.39785167184e-26
[[309, 693], [693, 309]]&0.9687192&8.88262243645e-26
[[310, 692], [692, 310]]&0.9677406&9.40883501545e-26
[[311, 691], [691, 311]]&0.9667371&9.98075321982e-26
[[312, 690], [690, 312]]&0.9657085&1.06031481447e-25
[[313, 689], [689, 313]]&0.9646542&1.12813659625e-25
[[688, 314], [314, 688]]&0.9635738&1.20214057057e-25
[[687, 315], [315, 687]]&0.9624669&1.28300086419e-25
[[686, 316], [316, 686]]&0.9613329&1.37147611197e-25
[[317, 685], [685, 317]]&0.9601715&1.46842130932e-25
[[318, 684], [684, 318]]&0.9589822&1.57480149227e-25
[[319, 683], [683, 319]]&0.9577646&1.69170755092e-25
[[320, 682], [682, 320]]&0.9565181&1.82037453766e-25
[[321, 681], [681, 321]]&0.9552423&1.96220289669e-25
[[680, 322], [322, 680]]&0.9539368&2.11878312031e-25
[[679, 323], [323, 679]]&0.9526012&2.29192443095e-25
[[324, 678], [678, 324]]&0.9512348&2.48368820068e-25
[[325, 677], [677, 325]]&0.9498373&2.69642695467e-25
[[676, 326], [326, 676]]&0.9484083&2.93282996749e-25
[[327, 675], [675, 327]]&0.9469472&3.19597665638e-25
[[328, 674], [674, 328]]&0.9454536&3.48939921137e-25
[[329, 673], [673, 329]]&0.943927&3.81715618686e-25
[[330, 672], [672, 330]]&0.942367&4.18391912379e-25
[[331, 671], [671, 331]]&0.9407731&4.59507468961e-25
[[332, 670], [670, 332]]&0.9391448&5.05684533063e-25
