Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[137, 10, 6], [10, 6, 137], [10, 137, 6], [137, 6, 10], [6, 10, 137], [6, 137, 10]]&0.998221&2.77801866276e-14
[[2, 18, 133], [2, 133, 18], [18, 2, 133], [18, 133, 2], [133, 2, 18], [133, 18, 2]]&0.9982&1.0538995869e-13
[[1, 130, 22], [130, 1, 22], [22, 130, 1], [130, 22, 1], [22, 1, 130], [1, 22, 130]]&0.998164&2.86489182571e-13
[[9, 7, 137], [9, 137, 7], [137, 7, 9], [137, 9, 7], [7, 9, 137], [7, 137, 9]]&0.998157&2.77801824884e-14
[[8, 137, 8], [137, 8, 8], [8, 8, 137]]&0.998136&1.38900905792e-14
[[136, 12, 5], [5, 12, 136], [12, 136, 5], [5, 136, 12], [136, 5, 12], [12, 5, 136]]&0.998074&3.87704017734e-14
[[16, 134, 3], [16, 3, 134], [3, 16, 134], [3, 134, 16], [134, 3, 16], [134, 16, 3]]&0.998053&7.55147672217e-14
[[4, 135, 14], [14, 135, 4], [4, 14, 135], [14, 4, 135], [135, 4, 14], [135, 14, 4]]&0.998014&5.4108535085e-14
[[2, 19, 132], [19, 132, 2], [2, 132, 19], [19, 2, 132], [132, 2, 19], [132, 19, 2]]&0.998009&1.47084232172e-13
[[23, 129, 1], [1, 129, 23], [129, 1, 23], [129, 23, 1], [23, 1, 129], [1, 23, 129]]&0.997999&3.99835043741e-13
[[136, 11, 6], [11, 6, 136], [6, 11, 136], [6, 136, 11], [136, 6, 11], [11, 136, 6]]&0.997938&3.87703863826e-14
[[10, 7, 136], [10, 136, 7], [136, 7, 10], [136, 10, 7], [7, 10, 136], [7, 136, 10]]&0.997845&3.87703769905e-14
[[17, 3, 133], [3, 17, 133], [17, 133, 3], [3, 133, 17], [133, 3, 17], [133, 17, 3]]&0.997828&1.05389603583e-13
[[24, 1, 128], [1, 128, 24], [128, 1, 24], [128, 24, 1], [24, 128, 1], [1, 24, 128]]&0.997827&5.58028741498e-13
[[2, 20, 131], [20, 2, 131], [2, 131, 20], [131, 2, 20], [20, 131, 2], [131, 20, 2]]&0.997807&2.05273938249e-13
[[5, 13, 135], [13, 5, 135], [13, 135, 5], [135, 5, 13], [135, 13, 5], [5, 135, 13]]&0.997801&5.41084891095e-14
[[8, 136, 9], [9, 8, 136], [9, 136, 8], [136, 8, 9], [136, 9, 8], [8, 9, 136]]&0.997798&3.87703725438e-14
[[4, 134, 15], [15, 134, 4], [4, 15, 134], [134, 4, 15], [134, 15, 4], [15, 4, 134]]&0.997761&7.5514638108e-14
[[1, 127, 25], [127, 25, 1], [127, 1, 25], [25, 127, 1], [25, 1, 127], [1, 25, 127]]&0.997648&7.78819087112e-13
[[12, 6, 135], [12, 135, 6], [6, 12, 135], [6, 135, 12], [135, 6, 12], [135, 12, 6]]&0.997629&5.41084578024e-14
[[2, 21, 130], [2, 130, 21], [130, 2, 21], [130, 21, 2], [21, 130, 2], [21, 2, 130]]&0.997594&2.86485500469e-13
[[132, 3, 18], [3, 18, 132], [18, 3, 132], [3, 132, 18], [18, 132, 3], [132, 18, 3]]&0.997587&1.47083539189e-13
[[5, 14, 134], [14, 134, 5], [14, 5, 134], [134, 5, 14], [134, 14, 5], [5, 134, 14]]&0.997506&7.55145472298e-14
[[11, 7, 135], [135, 7, 11], [135, 11, 7], [7, 11, 135], [11, 135, 7], [7, 135, 11]]&0.997503&5.41084376529e-14
[[4, 133, 16], [16, 133, 4], [16, 4, 133], [4, 16, 133], [133, 4, 16], [133, 16, 4]]&0.997489&1.05389350774e-13
[[1, 126, 26], [126, 1, 26], [126, 26, 1], [26, 1, 126], [26, 126, 1], [1, 26, 126]]&0.997461&1.08698265488e-12
[[8, 135, 10], [10, 8, 135], [10, 135, 8], [135, 8, 10], [135, 10, 8], [8, 10, 135]]&0.997426&5.41084264014e-14
[[9, 9, 135], [9, 135, 9], [135, 9, 9]]&0.9974&2.7054211393e-14
[[2, 22, 129], [129, 2, 22], [129, 22, 2], [2, 129, 22], [22, 129, 2], [22, 2, 129]]&0.99737&3.99827869396e-13
[[19, 131, 3], [3, 19, 131], [3, 131, 19], [19, 3, 131], [131, 3, 19], [131, 19, 3]]&0.997332&2.05272586646e-13
[[13, 6, 134], [6, 13, 134], [13, 134, 6], [6, 134, 13], [134, 6, 13], [134, 13, 6]]&0.997293&7.55144843958e-14
[[125, 1, 27], [1, 125, 27], [125, 27, 1], [27, 1, 125], [27, 125, 1], [1, 27, 125]]&0.997267&1.51710984581e-12
[[132, 4, 17], [4, 132, 17], [17, 4, 132], [17, 132, 4], [4, 17, 132], [132, 17, 4]]&0.997198&1.47083044928e-13
[[5, 15, 133], [15, 133, 5], [5, 133, 15], [133, 5, 15], [133, 15, 5], [15, 5, 133]]&0.997188&1.05389171911e-13
[[23, 128, 2], [2, 23, 128], [128, 2, 23], [128, 23, 2], [2, 128, 23], [23, 2, 128]]&0.997135&5.58014764168e-13
[[12, 7, 134], [12, 134, 7], [134, 7, 12], [134, 12, 7], [7, 12, 134], [7, 134, 12]]&0.997129&7.55144425594e-14
[[1, 124, 28], [124, 28, 1], [28, 1, 124], [28, 124, 1], [124, 1, 28], [1, 28, 124]]&0.997066&2.11749864312e-12
[[20, 3, 130], [3, 20, 130], [3, 130, 20], [130, 3, 20], [130, 20, 3], [20, 130, 3]]&0.997062&2.86482865315e-13
[[8, 134, 11], [11, 8, 134], [11, 134, 8], [134, 8, 11], [134, 11, 8], [8, 11, 134]]&0.997017&7.55144170291e-14
[[9, 10, 134], [9, 134, 10], [10, 9, 134], [10, 134, 9], [134, 9, 10], [134, 10, 9]]&0.99696&7.55144049417e-14
[[14, 133, 6], [6, 14, 133], [14, 6, 133], [6, 133, 14], [133, 6, 14], [133, 14, 6]]&0.99693&1.05389046937e-13
[[24, 2, 127], [2, 24, 127], [127, 24, 2], [127, 2, 24], [2, 127, 24], [24, 127, 2]]&0.996889&7.78791857944e-13
