Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[243, 759], [759, 243]]&0.9973367&4.93093179227e-57
[[244, 758], [758, 244]]&0.9972161&8.12973213029e-57
[[245, 757], [757, 245]]&0.9970907&1.34036622883e-56
[[246, 756], [756, 246]]&0.9969603&2.209890312e-56
[[247, 755], [755, 247]]&0.9968249&3.64349316331e-56
[[248, 754], [754, 248]]&0.9966842&6.007104678e-56
[[753, 249], [249, 753]]&0.9965381&9.90404125794e-56
[[250, 752], [752, 250]]&0.9963863&1.63290034879e-55
[[251, 751], [751, 251]]&0.9962288&2.69219753798e-55
[[252, 750], [750, 252]]&0.9960653&4.43868334579e-55
[[253, 749], [749, 253]]&0.9958956&7.31815164611e-55
[[254, 748], [748, 254]]&0.9957196&1.20655922811e-54
[[255, 747], [747, 255]]&0.9955371&1.98927986375e-54
[[256, 746], [746, 256]]&0.9953478&3.27976802474e-54
[[257, 745], [745, 257]]&0.9951515&5.40742330536e-54
[[258, 744], [744, 258]]&0.9949481&8.91533382322e-54
[[259, 743], [743, 259]]&0.9947374&1.46989005097e-53
[[260, 742], [742, 260]]&0.994519&2.42343899263e-53
[[261, 741], [741, 261]]&0.9942928&3.99557541539e-53
[[262, 740], [740, 262]]&0.9940586&6.58759017605e-53
[[263, 739], [739, 263]]&0.9938162&1.08611000459e-52
[[264, 738], [738, 264]]&0.9935652&1.79069266689e-52
[[265, 737], [737, 265]]&0.9933055&2.95235308919e-52
[[266, 736], [736, 266]]&0.9930368&4.86760733676e-52
[[267, 735], [735, 267]]&0.9927588&8.02532775353e-52
[[268, 734], [734, 268]]&0.9924714&1.32315285716e-51
[[269, 733], [733, 269]]&0.9921742&2.18151025998e-51
[[270, 732], [732, 270]]&0.991867&3.59670236789e-51
[[271, 731], [731, 271]]&0.9915495&5.92995969831e-51
[[272, 730], [730, 272]]&0.9912214&9.776850689e-51
[[273, 729], [729, 273]]&0.9908825&1.61193016914e-50
[[274, 728], [728, 274]]&0.9905324&2.65762355675e-50
[[275, 727], [727, 275]]&0.9901709&4.38168048752e-50
[[726, 276], [276, 726]]&0.9897978&7.22416982119e-50
[[277, 725], [725, 277]]&0.9894126&1.19106424473e-49
[[278, 724], [724, 278]]&0.9890151&1.96373295506e-49
[[279, 723], [723, 279]]&0.988605&3.23764829299e-49
[[280, 722], [722, 280]]&0.988182&5.3379796077e-49
[[281, 721], [721, 281]]&0.9877457&8.80084052178e-49
[[282, 720], [720, 282]]&0.9872958&1.45101329683e-48
[[283, 719], [719, 283]]&0.9868321&2.39231648655e-48
[[718, 284], [284, 718]]&0.9863541&3.94426307762e-48
[[285, 717], [717, 285]]&0.9858615&6.50299043331e-48
[[286, 716], [716, 286]]&0.9853541&1.07216186506e-47
[[715, 287], [287, 715]]&0.9848314&1.76769607255e-47
[[288, 714], [714, 288]]&0.9842931&2.91443811495e-47
[[289, 713], [713, 289]]&0.9837388&4.80509611226e-47
[[712, 290], [290, 712]]&0.9831683&7.92226416804e-47
[[711, 291], [291, 711]]&0.982581&1.30616054459e-46
[[710, 292], [292, 710]]&0.9819767&2.15349467282e-46
[[709, 293], [293, 709]]&0.981355&3.55051247342e-46
[[708, 294], [294, 708]]&0.9807155&5.85380543682e-46
[[707, 295], [295, 707]]&0.9800578&9.65129353822e-46
[[706, 296], [296, 706]]&0.9793815&1.59122929462e-45
[[705, 297], [297, 705]]&0.9786864&2.62349358461e-45
[[704, 298], [298, 704]]&0.9779718&4.32540967649e-45
[[703, 299], [299, 703]]&0.9772375&7.13139493812e-45
[[702, 300], [300, 702]]&0.9764831&1.17576825242e-44
[[701, 301], [301, 701]]&0.9757082&1.93851412718e-44
[[700, 302], [302, 700]]&0.9749123&3.19606947504e-44
[[699, 303], [303, 699]]&0.974095&5.26942772614e-44
[[304, 698], [698, 304]]&0.9732559&8.6878175765e-44
[[697, 305], [305, 697]]&0.9723947&1.43237896343e-43
[[696, 306], [306, 696]]&0.9715108&2.36159366472e-43
[[695, 307], [307, 695]]&0.9706039&3.89360970777e-43
[[694, 308], [308, 694]]&0.9696735&6.419477145e-43
[[309, 693], [693, 309]]&0.9687192&1.05839285157e-42
[[310, 692], [692, 310]]&0.9677406&1.74499480715e-42
[[311, 691], [691, 311]]&0.9667371&2.8770100558e-42
[[312, 690], [690, 312]]&0.9657085&4.74338767502e-42
[[313, 689], [689, 313]]&0.9646542&7.82052415499e-42
[[688, 314], [314, 688]]&0.9635738&1.28938645224e-41
[[687, 315], [315, 687]]&0.9624669&2.12583886995e-41
[[686, 316], [316, 686]]&0.9613329&3.50491576297e-41
[[317, 685], [685, 317]]&0.9601715&5.77862917042e-41
[[318, 684], [684, 318]]&0.9589822&9.52734882877e-41
[[319, 683], [683, 319]]&0.9577646&1.57079426674e-40
[[320, 682], [682, 320]]&0.9565181&2.58980191946e-40
[[321, 681], [681, 321]]&0.9552423&4.26986151152e-40
[[680, 322], [322, 680]]&0.9539368&7.03981149698e-40
[[679, 323], [323, 679]]&0.9526012&1.16066869568e-39
[[324, 678], [678, 324]]&0.9512348&1.9136191668e-39
[[325, 677], [677, 325]]&0.9498373&3.15502462433e-39
[[676, 326], [326, 676]]&0.9484083&5.20175620771e-39
[[327, 675], [675, 327]]&0.9469472&8.57624610465e-39
[[328, 674], [674, 328]]&0.9454536&1.41398393755e-38
[[329, 673], [673, 329]]&0.943927&2.33126539427e-38
[[330, 672], [672, 330]]&0.942367&3.84360684317e-38
[[331, 671], [671, 331]]&0.9407731&6.33703635855e-38
[[332, 670], [670, 332]]&0.9391448&1.04480066375e-37
[[333, 669], [669, 333]]&0.9374816&1.72258507797e-37
[[334, 668], [668, 334]]&0.9357832&2.84006265864e-37
[[335, 667], [667, 335]]&0.934049&4.68247171543e-37
[[336, 666], [666, 336]]&0.9322786&7.72009071668e-37
[[337, 665], [665, 337]]&0.9304715&1.27282777763e-36
[[338, 664], [664, 338]]&0.9286273&2.09853823092e-36
[[663, 339], [339, 663]]&0.9267455&3.4599046187e-36
[[340, 662], [662, 340]]&0.9248256&5.70441833944e-36
[[341, 661], [661, 341]]&0.9228672&9.4049958532e-36
[[342, 660], [660, 342]]&0.9208699&1.5506216714e-35
[[659, 343], [343, 659]]&0.9188331&2.55654293245e-35
[[344, 658], [658, 344]]&0.9167565&4.21502671219e-35
[[345, 657], [657, 345]]&0.9146396&6.94940419695e-35
[[346, 656], [656, 346]]&0.912482&1.14576305182e-34
[[347, 655], [655, 347]]&0.9102831&1.88904391472e-34
[[348, 654], [654, 348]]&0.9080427&3.11450688348e-34
[[349, 653], [653, 349]]&0.9057602&5.13495374654e-34
[[350, 652], [652, 350]]&0.9034352&8.46610746598e-34
[[351, 651], [651, 351]]&0.9010673&1.39582514592e-33
[[352, 650], [650, 352]]&0.8986561&2.30132660826e-33
[[353, 649], [649, 353]]&0.8962012&3.79424612986e-33
[[354, 648], [648, 354]]&0.8937021&6.25565430057e-33
[[647, 355], [355, 647]]&0.8911584&1.03138303075e-32
[[646, 356], [356, 646]]&0.8885698&1.70046314104e-32
[[645, 357], [357, 645]]&0.8859358&2.80358975067e-32
[[358, 644], [644, 358]]&0.883256&4.62233805625e-32
[[359, 643], [643, 359]]&0.8805301&7.6209470737e-32
[[642, 360], [360, 642]]&0.8777577&1.25648175433e-31
[[361, 641], [641, 361]]&0.8749384&2.07158819461e-31
[[362, 640], [640, 362]]&0.8720718&3.41547152058e-31
[[363, 639], [639, 363]]&0.8691576&5.63116054545e-31
[[364, 638], [638, 364]]&0.8661953&9.28421417002e-31
[[365, 637], [637, 365]]&0.8631847&1.53070813838e-30
[[366, 636], [636, 366]]&0.8601254&2.52371106699e-30
[[367, 635], [635, 367]]&0.8570171&4.16089611724e-30
[[368, 634], [634, 368]]&0.8538594&6.86015793367e-30
[[369, 633], [633, 369]]&0.850652&1.13104883056e-29
[[370, 632], [632, 370]]&0.8473946&1.86478426515e-29
[[631, 371], [371, 631]]&0.8440869&3.07450948321e-29
[[372, 630], [630, 372]]&0.8407286&5.06900918194e-29
[[629, 373], [373, 629]]&0.8373194&8.35738325965e-29
[[628, 374], [374, 628]]&0.8338589&1.37789955476e-28
[[627, 375], [375, 627]]&0.830347&2.27177230482e-28
[[626, 376], [376, 626]]&0.8267833&3.74551932114e-28
[[625, 377], [377, 625]]&0.8231676&6.17531737458e-28
