Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[2, 16, 135], [16, 135, 2], [16, 2, 135], [2, 135, 16], [135, 2, 16], [135, 16, 2]]&0.998548&8.9312628986e-06
[[9, 6, 138], [9, 138, 6], [6, 9, 138], [138, 6, 9], [6, 138, 9], [138, 9, 6]]&0.998479&8.93667919527e-06
[[1, 132, 20], [20, 1, 132], [132, 1, 20], [132, 20, 1], [20, 132, 1], [1, 20, 132]]&0.99847&8.93742642649e-06
[[137, 4, 12], [4, 137, 12], [137, 12, 4], [4, 12, 137], [12, 137, 4], [12, 4, 137]]&0.998467&8.9376008387e-06
[[136, 14, 3], [14, 136, 3], [3, 14, 136], [3, 136, 14], [14, 3, 136], [136, 3, 14]]&0.998461&8.93807470798e-06
[[8, 138, 7], [138, 7, 8], [7, 8, 138], [138, 8, 7], [7, 138, 8], [8, 7, 138]]&0.99844&8.93972065036e-06
[[2, 17, 134], [17, 2, 134], [2, 134, 17], [17, 134, 2], [134, 2, 17], [134, 17, 2]]&0.998379&8.94450169035e-06
[[137, 11, 5], [5, 11, 137], [137, 5, 11], [11, 5, 137], [5, 137, 11], [11, 137, 5]]&0.998325&8.94875423293e-06
[[1, 131, 21], [131, 1, 21], [21, 131, 1], [21, 1, 131], [131, 21, 1], [1, 21, 131]]&0.998321&8.94912770359e-06
[[15, 3, 135], [15, 135, 3], [3, 15, 135], [3, 135, 15], [135, 3, 15], [135, 15, 3]]&0.998265&8.95353534833e-06
[[136, 13, 4], [4, 136, 13], [4, 13, 136], [13, 4, 136], [13, 136, 4], [136, 4, 13]]&0.99825&8.95469613795e-06
[[137, 10, 6], [10, 6, 137], [10, 137, 6], [137, 6, 10], [6, 10, 137], [6, 137, 10]]&0.998221&8.95694875915e-06
[[2, 18, 133], [2, 133, 18], [18, 2, 133], [18, 133, 2], [133, 2, 18], [133, 18, 2]]&0.9982&8.95862840037e-06
[[1, 130, 22], [130, 1, 22], [22, 130, 1], [130, 22, 1], [22, 1, 130], [1, 22, 130]]&0.998164&8.96145603987e-06
[[9, 7, 137], [9, 137, 7], [137, 7, 9], [137, 9, 7], [7, 9, 137], [7, 137, 9]]&0.998157&8.96196218144e-06
[[8, 137, 8], [137, 8, 8], [8, 8, 137]]&0.998136&4.48182496866e-06
[[136, 12, 5], [5, 12, 136], [12, 136, 5], [5, 136, 12], [136, 5, 12], [12, 5, 136]]&0.998074&8.96852593332e-06
[[16, 134, 3], [16, 3, 134], [3, 16, 134], [3, 134, 16], [134, 3, 16], [134, 16, 3]]&0.998053&8.97015604385e-06
[[4, 135, 14], [14, 135, 4], [4, 14, 135], [14, 4, 135], [135, 4, 14], [135, 14, 4]]&0.998014&8.97322714275e-06
